"","SYMBOL","ENSEMBL","ENTREZID"
"148","PLP1","ENSG00000123560","5354"
"149","SERPIND1","ENSG00000099937","3053"
"150","PCDH20","ENSG00000280165","64881"
"151","PCDH20","ENSG00000197991","64881"
"152","MGAM2","ENSG00000257743","93432"
"153","MGAM2","ENSG00000278563","93432"
"154","MVP","ENSG00000013364","9961"
"155","SATB1","ENSG00000182568","6304"
"156","MCM7","ENSG00000166508","4176"
"157","EVI2B","ENSG00000185862","2124"
"158","CLIP4","ENSG00000115295","79745"
"159","JHY","ENSG00000109944","79864"
"160","TGM2","ENSG00000198959","7052"
"161","FOSL2","ENSG00000075426","2355"
"162","AKAP6","ENSG00000151320","9472"
"163","MYLK","ENSG00000065534","4638"
"164","AJAP1","ENSG00000196581","55966"
"165","EDIL3","ENSG00000164176","10085"
"166","DTNA","ENSG00000134769","1837"
"167","ROS1","ENSG00000047936","6098"
"168","PLPP1","ENSG00000067113","8611"
"169","HASPIN","ENSG00000177602","83903"
"170","ANGPTL7","ENSG00000171819","10218"
"171","TRIB2","ENSG00000071575","28951"
"172","RFTN2","ENSG00000162944","130132"
"173","CUBN","ENSG00000107611","8029"
"174","NUDT17","ENSG00000186364","200035"
"175","XRCC2","ENSG00000196584","7516"
"176","LGR5","ENSG00000139292","8549"
"177","ROBO2","ENSG00000185008","6092"
"178","HIST1H3A","ENSG00000275714","8350"
"179","TP53INP1","ENSG00000164938","94241"
"180","P2RX7","ENSG00000089041","5027"
"181","TENM3-AS1","ENSG00000177822","90768"
"182","ORAI3","ENSG00000175938","93129"
"183","PGM2L1","ENSG00000165434","283209"
"184","GINS2","ENSG00000131153","51659"
"185","PMAIP1","ENSG00000141682","5366"
"186","ACSF2","ENSG00000167107","80221"
"187","SMIM14","ENSG00000163683","201895"
"188","GAB1","ENSG00000109458","2549"
"189","MRTO4","ENSG00000053372","51154"
"190","ATAD5","ENSG00000176208","79915"
"191","ZC3H6","ENSG00000188177","376940"
"192","HPGD","ENSG00000164120","3248"
"193","FGF1","ENSG00000113578","2246"
"194","TSHZ2","ENSG00000182463","128553"
"195","FAM129A","ENSG00000135842","116496"
"196","ERRFI1","ENSG00000116285","54206"
"197","SSBP2","ENSG00000145687","23635"
"198","HIST1H1A","ENSG00000124610","3024"
"199","MCM5","ENSG00000100297","4174"
"200","RAD51","ENSG00000051180","5888"
"201","RAD51","ENSG00000285396","5888"
"202","CACNA1D","ENSG00000157388","776"
"203","MCM6","ENSG00000076003","4175"
"204","ADGRF1","ENSG00000153292","266977"
"205","ALCAM","ENSG00000170017","214"
"206","HECW2","ENSG00000138411","57520"
"207","HIST1H2BF","ENSG00000277224","8343"
"208","WDR76","ENSG00000092470","79968"
"209","LRRC17","ENSG00000128606","10234"
"210","TNFRSF21","ENSG00000146072","27242"
"211","SPRED2","ENSG00000198369","200734"
"212","MASTL","ENSG00000120539","84930"
"213","CYP27A1","ENSG00000135929","1593"
"214","PCDHB18P","ENSG00000146001","54660"
"215","ORC6","ENSG00000091651","23594"
"216","NREP","ENSG00000134986","9315"
"217","CCDC86","ENSG00000110104","79080"
"218","QRFPR","ENSG00000186867","84109"
"219","POLQ","ENSG00000051341","10721"
"220","PLEKHG1","ENSG00000120278","57480"
"221","CERS4","ENSG00000090661","79603"
"222","PLK4","ENSG00000142731","10733"
"223","LGR4","ENSG00000205213","55366"
"224","PNP","ENSG00000198805","4860"
"225","SHTN1","ENSG00000187164","57698"
"226","PCDHB15","ENSG00000113248","56121"
"227","CFI","ENSG00000205403","3426"
"228","CHAF1A","ENSG00000167670","10036"
"229","CTDSPL","ENSG00000144677","10217"
"230","NR5A2","ENSG00000116833","2494"
"231","MCM3","ENSG00000112118","4172"
"232","ANO1","ENSG00000131620","55107"
"233","MCM4","ENSG00000104738","4173"
"234","RAD51AP1","ENSG00000111247","10635"
"235","BLM","ENSG00000197299","641"
"236","SERTAD4","ENSG00000082497","56256"
"237","SERTAD4","ENSG00000281230","56256"
"238","PBK","ENSG00000168078","55872"
"239","ATP2B4","ENSG00000058668","493"
"240","UCK2","ENSG00000143179","7371"
"241","CAPS","ENSG00000105519","828"
"242","SLC1A1","ENSG00000106688","6505"
"243","SIDT2","ENSG00000149577","51092"
"244","MRAS","ENSG00000158186","22808"
"245","E2F8","ENSG00000129173","79733"
"246","SLC2A12","ENSG00000146411","154091"
"247","FAM102A","ENSG00000167106","399665"
"248","HMGCLL1","ENSG00000146151","54511"
"249","PPP2R2B","ENSG00000156475","5521"
"250","DKC1","ENSG00000130826","1736"
"251","ST8SIA4","ENSG00000113532","7903"
"252","KRCC1","ENSG00000172086","51315"
"253","NCAPH","ENSG00000121152","23397"
"254","PYGL","ENSG00000100504","5836"
"255","TRIM9","ENSG00000100505","114088"
"256","LRP8","ENSG00000157193","7804"
"257","LYAR","ENSG00000145220","55646"
"258","NEFL","ENSG00000277586","4747"
"259","TMPRSS5","ENSG00000166682","80975"
"260","ASF1B","ENSG00000105011","55723"
"261","SLC14A1","ENSG00000141469","6563"
"262","FANCB","ENSG00000181544","2187"
"263","C3","ENSG00000125730","718"
"264","HIST1H2BM","ENSG00000273703","8342"
"265","KCNN4","ENSG00000104783","3783"
"266","MCM2","ENSG00000073111","4171"
"267","GRIK2","ENSG00000164418","2898"
"268","CDCA4","ENSG00000170779","55038"
"269","LY96","ENSG00000154589","23643"
"270","RAPH1","ENSG00000173166","65059"
"271","PCNA","ENSG00000132646","5111"
"272","TNIK","ENSG00000154310","23043"
"273","RAD54L","ENSG00000085999","8438"
"275","HMGA2","ENSG00000149948","8091"
"276","SPON2","ENSG00000159674","10417"
"277","ANXA9","ENSG00000143412","8416"
"278","CYP1B1","ENSG00000138061","1545"
"279","LRP1","ENSG00000123384","4035"
"280","CXADR","ENSG00000154639","1525"
"281","HSD17B3","ENSG00000130948","3293"
"282","CDH10","ENSG00000040731","1008"
"283","CORO2B","ENSG00000103647","10391"
"284","RAB3B","ENSG00000169213","5865"
"285","LMF1","ENSG00000103227","64788"
"286","LMF1","ENSG00000260807","64788"
"287","TRIP13","ENSG00000071539","9319"
"288","ITGB5","ENSG00000082781","3693"
"289","PLPP3","ENSG00000162407","8613"
"290","SLFN11","ENSG00000172716","91607"
"291","HIVEP3","ENSG00000127124","59269"
"292","ARID5B","ENSG00000150347","84159"
"293","FANCI","ENSG00000140525","55215"
"294","CENPK","ENSG00000123219","64105"
"295","CDCA7","ENSG00000144354","83879"
"296","CTPS1","ENSG00000171793","1503"
"297","TICRR","ENSG00000140534","90381"
"298","GALNT14","ENSG00000158089","79623"
