"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC00518",-2.91424333333334,7.39151833333333,-25.6519362680826,3.20796934743895e-11,6.94470053904198e-09,16.4076806349046
"TENM3",-1.70623333333333,11.11645,-25.5669665005123,3.32622340905675e-11,7.10974357932407e-09,16.3715630997747
"MRGPRX4",2.93604,7.64473666666667,25.5435041063757,3.35970679919211e-11,7.10974357932407e-09,16.3615661723241
"EXO1",2.59799666666667,9.27866833333333,25.4204682216146,3.54140826920316e-11,7.41098703801915e-09,16.3089722508826
"SLC16A4",-2.17810333333334,10.3620483333333,-25.3530218618952,3.64553330772389e-11,7.46793791262089e-09,16.2800189934651
"PBX1",-1.79427333333333,9.86229666666667,-25.3514970816076,3.64792549623618e-11,7.46793791262089e-09,16.2793634344702
"TIMP3",1.70393333333334,12.0049333333333,25.2965814415103,3.73523091409035e-11,7.51285066295578e-09,16.255723510597
"ZNF608",-1.72727666666666,10.3962283333333,-25.2876500118012,3.749644060305e-11,7.51285066295578e-09,16.2518732667141
"ATAD2",1.95413,9.52230166666667,24.8595007895418,4.51697763790181e-11,8.95502703497291e-09,16.065486990805
"SH2B3",1.78061666666667,10.097825,24.8154941798653,4.60505725184602e-11,8.973980624568e-09,16.0461256428268
"SEMA6A",-2.06988333333333,8.37126833333333,-24.807216316971,4.62183349571571e-11,8.973980624568e-09,16.0424793791998
"E2F7",1.79003333333333,9.99631666666667,24.7778026972762,4.68198472503385e-11,8.99801023584567e-09,16.0295121294696
"INPP5F",1.89261,10.037295,24.684467436508,4.87856958995447e-11,9.26552328230189e-09,15.9882501226596
"NPAS2",1.66656666666666,11.20655,24.6655161216552,4.91957273139104e-11,9.26552328230189e-09,15.9798507415462
"TFAP2C",1.74120666666666,10.3026633333333,24.5367877927183,5.20821989055049e-11,9.71204093253742e-09,15.9226057581802
"ORC1",1.9674,8.88892666666667,24.4177359397065,5.49163822983834e-11,1.0140148472625e-08,15.8693647525971
"GAS6-AS1",-2.12461,8.520115,-24.3302959576846,5.71048705354301e-11,1.03546043206755e-08,15.8300762539607
"PDE5A",-2.75988333333334,8.413825,-24.3274614782656,5.71773839519091e-11,1.03546043206755e-08,15.8288000372871
"MAF",-1.86719666666667,9.471235,-24.2829346747069,5.83297512540799e-11,1.04626908106604e-08,15.808730221688
"ANKFN1",-2.09841333333333,7.65518666666667,-24.2560033829297,5.90389965396604e-11,1.04900043474336e-08,15.7965714513524
"LOC100128288",-1.93174,7.70911,-24.1992071647858,6.05657206486467e-11,1.06606989037066e-08,15.770880175795
"EPHA5",-1.65984,6.93772666666667,-24.1754614836026,6.12167179390008e-11,1.06755154228069e-08,15.760119152813
"ZEB2",-1.62776666666666,11.0345833333333,-24.120153957098,6.27627249656232e-11,1.08447079082802e-08,15.735009412942
"ATL1",-1.95508333333334,7.89282833333333,-24.0420845692781,6.50177957090764e-11,1.09342107509556e-08,15.6994567638484
"THBS3",-2.09510333333333,9.135815,-24.0165285708193,6.57750373273952e-11,1.09342107509556e-08,15.6877907862536
"FYB1",-2.32903333333334,6.95741,-23.9995361743893,6.62838452934698e-11,1.09342107509556e-08,15.6800263611183
"FHDC1",-2.02357333333334,8.63881666666667,-23.9880180430262,6.6631171736042e-11,1.09342107509556e-08,15.674759855322
"MCC",-1.89417,9.15536833333333,-23.9798406292004,6.68789621683325e-11,1.09342107509556e-08,15.6710191451047
"JAKMIP2",-1.83659,8.31728166666667,-23.9773011274595,6.6956117671133e-11,1.09342107509556e-08,15.6698571772345
"COL21A1",-2.21653333333333,7.33535333333333,-23.9645623735567,6.73446133116094e-11,1.09342107509556e-08,15.6640264077607
"ANKRD44",-1.8665,8.69077333333333,-23.8227296935082,7.18398500393122e-11,1.15643738088924e-08,15.598874155599
"MGP",-3.01300666666667,10.3797633333333,-23.745939344941,7.44091316308184e-11,1.18764541113121e-08,15.5634204813494
"SELENOP",-2.86302,6.12994333333333,-23.616230053306,7.89791117700538e-11,1.24999377401445e-08,15.5032458995897
"PDZRN3",-1.60298,9.14411666666667,-23.510689199182,8.29232495242376e-11,1.30148040128291e-08,15.454013939797
"SLAIN1",-1.81324,9.70678,-23.3459728694164,8.95138971691875e-11,1.393309701888e-08,15.376689961007
"POLE2",2.22983666666667,8.77155166666667,23.2739308732133,9.25738571899546e-11,1.42078580568616e-08,15.3426820459144
"PHC2",1.59267,9.67933166666667,23.2623299206653,9.30771617438525e-11,1.42078580568616e-08,15.3371949326827
"ZNF536",-3.0457,9.06948333333333,-23.2516707912611,9.354223208298e-11,1.42078580568616e-08,15.3321506422548
"CYB5R2",2.4491,8.50832666666667,23.0671863546366,1.02005583635285e-10,1.53693852974956e-08,15.2444418689386
"ERV3-1",-1.84754333333333,10.261295,-23.0397120779871,1.03335771103089e-10,1.54462374044093e-08,15.2313141490986
"KAT2B",-1.8246,11.2138666666667,-23.0038902032949,1.05098548850609e-10,1.55860320397824e-08,15.214172037744
"TBL1X",1.55590666666667,10.0683133333333,22.978171160788,1.0638435032406e-10,1.56534597969011e-08,15.201846491285
"DDIAS",2.60847333333333,8.45971666666667,22.9396058557783,1.08344589622659e-10,1.58183100849083e-08,15.1833362278667
"GINS1",1.70266,10.48107,22.7807313682342,1.16844827656239e-10,1.68193579621049e-08,15.1067208012016
"TINAGL1",1.84138666666666,9.70130666666667,22.7781795845933,1.16987145217996e-10,1.68193579621049e-08,15.1054854783799
"HIST1H2AB",1.71594666666667,8.82763666666667,22.7034632429835,1.21239003446482e-10,1.72986014462958e-08,15.0692481292583
